,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Cleaned_Review_Text,Extracted_Aspects,Aspect_Sentiment
499,1078,36,"Cute concept, fits weird",The fun colors drew me to this but it sure fit weird. the top was fine but it became a bit tent-like in the waist. the material doesn't feel great either.,2,0,1,General,Dresses,Dresses,fun colors drew sure fit weird top fine became bit tentlike waist material doesnt feel great either,"['fit', 'color']","{'fit': 1.0, 'color': 1.0}"
502,1078,39,Love this dress,Very comfortable and versatile. got lots of compliments.,5,1,0,General,Dresses,Dresses,comfortable versatile got lots compliments,['comfort'],{'comfort': 2.0}
506,1078,51,"So cute, but weird fit","This dress is really cute in person. however, it did not fit me like it does the model in the pic at all. first of all i'm 5 feet 1 and it was wayyy too short on me. i didn't have the petit on either-- i had the regular xs. it just hits a couple of inches too short for me. i am 50. it would be adorable if i were more comfortable in shorter dresses. i wear short things a lot, but this was just too high on me. it was probably a good 8 inches above my knee. also it flared too dramatically at the wa",3,1,11,General,Dresses,Dresses,dress really cute person however fit like model pic first im feet wayyy short didnt petit either regular xs hits couple inches short would adorable comfortable shorter dresses wear short things lot high probably good inches knee also flared dramatically wa,"['fit', 'comfort']","{'fit': 4.0, 'comfort': 4.0}"
508,1078,67,"Comfy, cute, and colorful.","This knit dress is very comfortable. i liked the various colors used in the stripes. my only issue with it, is that the skirt of the dress flares out oddly and is quite short. in my opinion, this dress, with its sturdy fabric and long sleeves, would appear more proportional with a longer skirt. skirt length, along with horizontal stripes just did not work for me. regrettably, i sent it back.",4,1,0,General,Dresses,Dresses,knit dress comfortable liked various colors used stripes issue skirt dress flares oddly quite short opinion dress sturdy fabric long sleeves would appear proportional longer skirt skirt length along horizontal stripes work regrettably sent back,"['comfort', 'color', 'length']","{'comfort': 1.0, 'color': 1.0, 'length': 1.0}"
509,1078,36,Best fitting dress,Love love this dress. fits so great. i normally wouldn't have picked this dress. more preppy than my normal style. fits amazing. my hubby has complimented me more on this dress than anything else i've ever owned. the fit & flare style is super flattering i felt it fit tts.,5,1,8,General,Dresses,Dresses,love love dress fits great normally wouldnt picked dress preppy normal style fits amazing hubby complimented dress anything else ive ever owned fit flare style super flattering felt fit tts,"['fit', 'style']","{'fit': 5.0, 'style': 5.0}"
512,1078,49,Cute but skip the petite unless you are very short,"Beautiful colors, especially the pink. i am 5'3"" and about 124 lb. i got the small petite but am thinking of exchanging it for the regular xs. not only is it short hem-wise, which i don't really mind, but it is short in the waist. very pretty and good fabric.",5,1,3,General,Dresses,Dresses,beautiful colors especially pink lb got small petite thinking exchanging regular xs short hemwise dont really mind short waist pretty good fabric,['color'],{'color': 2.0}
525,1078,25,Cute and fun!,The horizontal lines on the skirt and top gives the wearer and very nice dress. i am short so i got the 6 petite and it fits perfectly. the fabric is thick and stretchy.,5,1,0,General,Dresses,Dresses,horizontal lines skirt top gives wearer nice dress short got petite fits perfectly fabric thick stretchy,['fit'],{'fit': 0.0}
529,1078,47,Great dress or tunic,"The colors are more vibrant than the photo indicates. indeed, though, the dress is very short and does pair well with leggings and boots.

i like that the dress highlights my hour glass figure, but with a generous nod to my curves with the accommodating skater skirt.

love it! will be easy to wear casually and work appropriate, too. the sale price was a huge bonus.",5,1,1,General,Dresses,Dresses,colors vibrant photo indicates indeed though dress short pair well leggings boots like dress highlights hour glass figure generous nod curves accommodating skater skirt love easy wear casually work appropriate sale price huge bonus,['color'],{'color': 2.0}
533,1078,68,,"I love this dress because its very playful and bouncy. it puts me in a light hearted mood when i wear it. i originally wanted to buy the grey color but my store only had the navy, so i tried it on. the navy is brighter and more colorful than it looks on line and the stripes are more varied in color than in the picture - so its quite appealing and vibrant. the lines of the dress are also quite flattering. all in all, its a fun dress!",3,1,1,General,Dresses,Dresses,love dress playful bouncy puts light hearted mood wear originally wanted buy grey color store navy tried navy brighter colorful looks line stripes varied color picture quite appealing vibrant lines dress also quite flattering fun dress,['color'],{'color': 2.0}
540,1078,71,Flattering,"This dress is comfortable as well as flattering, which does not happen very often!
looks good with navy tights too!",5,1,0,General,Dresses,Dresses,dress comfortable well flattering happen often looks good navy tights,['comfort'],{'comfort': 3.0}
543,1078,36,Cute dress,"Based on some reviews i decided to get the regular xs, even tho i am an xs petite (5'2, 107 lb, 32c) i found the fit to be flattering -- fitted enough but not too loose or tight. the length is perfect and work appropriate, and the material has some weight to it. the grey one is colorful and cute. the only problem is the bagginess of the arms -- very unflattering. if i push the sleeves up, it hides the bagginess a little, but i would like to have the option to wear the dress with long sleeves., s",4,1,2,General,Dresses,Dresses,based reviews decided get regular xs even tho xs petite lb c found fit flattering fitted enough loose tight length perfect work appropriate material weight grey one colorful cute problem bagginess arms unflattering push sleeves hides bagginess little would like option wear dress long sleeves,"['fit', 'color', 'length', 'weight']","{'fit': 0.0, 'color': 0.0, 'length': 0.0, 'weight': 0.0}"
546,1078,53,Love this dress!,"I went to my local store and they only had the blue dress in stock, i had seen it online and i didn't expect to like the blue one. i tried it on anyway, and it was adorable! i struggled to choose, but i ordered the gray one at the store and they shipped it directly to me. it arrived quickly and i love it!",5,1,2,General,Dresses,Dresses,went local store blue dress stock seen online didnt expect like blue one tried anyway adorable struggled choose ordered gray one store shipped directly arrived quickly love,,
550,1078,52,Not a fan - childish,"I thought that it looked like it belonged on a 15 year-old. i can almost see why they styled the model in what looks like ankle socks....ready for cheerleading. for reference it fits true to size, but is very short. i am 5'2"" and tried on a regular small - it was at least 5 inches above my knee.",3,0,2,General,Dresses,Dresses,thought looked like belonged yearold almost see styled model looks like ankle socksready cheerleading reference fits true size short tried regular small least inches knee,"['fit', 'style']","{'fit': 2.0, 'style': 2.0}"
551,1078,49,,"I loved this dress when i saw it. however the fit was way off. i am 5'7"" 120 lbs and the small was way too big from the waist down. when the xs arrived i was sure it would be perfect. unfortunately the waist hit way too high, above my rib cage and the dress was too short. it was as if it was a petite size. i was very disappointed as this is such a pretty, easy dress to just throw on for school. unfortunately neither size looked right on me and i had to return both. the material is also not the s",2,1,0,General,Dresses,Dresses,loved dress saw however fit way lbs small way big waist xs arrived sure would perfect unfortunately waist hit way high rib cage dress short petite size disappointed pretty easy dress throw school unfortunately neither size looked right return material also,['fit'],{'fit': 1.0}
602,1078,39,Gorgeous quality knit,"I was lucky enough to get a hold of this intarsia sweater dress after the sale and i wish i had purchased this the first time round. it is absolutely stunning, flattering, comfortable and unique! i am 5'3"" and the regular hem fit me just fine at the ankles. i think this dress runs both tts to a bit large so i would size down if your small framed and stay your usual if your busty or broad shouldered. perfectly complements my taupe booties that i already owned and a my taupe maxi sweater that has",5,1,0,General Petite,Dresses,Dresses,lucky enough get hold intarsia sweater dress sale wish purchased first time round absolutely stunning flattering comfortable unique regular hem fit fine ankles think dress runs tts bit large would size small framed stay usual busty broad shouldered perfectly complements taupe booties already owned taupe maxi sweater,"['fit', 'comfort']","{'fit': 4.0, 'comfort': 4.0}"
811,1078,61,Flattering,"Very slimming, lovely dress.
a nice addition to your fall/ winter wardrobe.
the embroidery is lovely, fabric soft and comfortable. sized perfectly. 
so happy with this beautiful black dress!!!",5,1,7,General Petite,Dresses,Dresses,slimming lovely dress nice addition fall winter wardrobe embroidery lovely fabric soft comfortable sized perfectly happy beautiful black dress,['comfort'],{'comfort': 4.0}
822,1078,39,Nice casual tunic-dress,"Comfortable,t eh fabric is very soft. the embroidery adds a little to the otherwise plain black tunic. lace up neck on trend too. 

i ordered the xxs p, as it is likely loose... that was just fine for me, xs p would have been not as flattering. theo nly problem with that is the sleeves then became a little more snug (workout arms). not too snug that i can't wear the dress, but decided not to keep it only because there are way too many things i like at retailer! (and have to pick). in my wish lis",5,1,2,General Petite,Dresses,Dresses,comfortablet eh fabric soft embroidery adds little otherwise plain black tunic lace neck trend ordered xxs p likely loose fine xs p would flattering theo nly problem sleeves became little snug workout arms snug cant wear dress decided keep way many things like retailer pick wish lis,['comfort'],{'comfort': 1.0}
840,1078,46,I'm in love!,"I love this shirtdress. the lace and collar design pops off the black. super comfortable and love that it has pockets! a keeper, this one not going back ever. i am 5'9 and 140 lbs and the 6 fits perfect. the length comes above my knee, so most likely i will be wearing tights or skinny's underneath.",5,1,0,General Petite,Dresses,Dresses,love shirtdress lace collar design pops black super comfortable love pockets keeper one going back ever lbs fits perfect length comes knee likely wearing tights skinnys underneath,"['fit', 'comfort', 'length', 'pockets']","{'fit': 4.0, 'comfort': 4.0, 'length': 4.0, 'pockets': 4.0}"
846,1078,82,Great dress!!,"I am 5'4"" 140 pounds and ordered the 8 petite. it fits perfectly and is very flattering. the embroidery and lace up neckline thing is really awesome. it gives the dress some character... i am also a fan of the roll-up sleeves. i wish it came in other colors because i would certainly order more than one. the one and only potentially negative aspect, and i say potential because i'm not sure if its an issue or not as i haven't worn/washed it yet is it appears to be something that i may have to iron",5,1,5,General Petite,Dresses,Dresses,pounds ordered petite fits perfectly flattering embroidery lace neckline thing really awesome gives dress character also fan rollup sleeves wish came colors would certainly order one one potentially negative aspect say potential im sure issue havent wornwashed yet appears something may iron,"['fit', 'color', 'neckline']","{'fit': 1.0, 'color': 1.0, 'neckline': 1.0}"
852,1078,41,The perfect fall dress,"Ordered this dress online and wasn't sure about the criss-cross neckline feature but i love it! it's absolutely adorable and unbelievably comfortable. the fabric is very soft and lays nicely without feeling too ""baggy"" or frumpy. the embroidery is beautiful. i'm wearing it to a fall event in october and pairing it with my favorite cowboy boots, but it would also look great with flats, heels or booties. totally in love with this dress!",5,1,5,General,Dresses,Dresses,ordered dress online wasnt sure crisscross neckline feature love absolutely adorable unbelievably comfortable fabric soft lays nicely without feeling baggy frumpy embroidery beautiful im wearing fall event october pairing favorite cowboy boots would also look great flats heels booties totally love dress,"['comfort', 'neckline']","{'comfort': 5.0, 'neckline': 5.0}"
853,1078,56,"Adorable, comfortable, flattering; this has it all","I was not shopping for a dress and somehow came home with this. in person the material and embroidery are just so stunning that i found myself picking it up. i was sold after trying it on. the material is very soft, both feels and looks extremely high quality. and for a basic shirtdress, it is amazingly flattering. follows curves without clinging to them. i'm 5'4"", 123 lbs, usually wear a small in tops/dresses & purchased the size 4, which fit perfectly. i'm slightly chesty (34d) so sometimes ha",5,1,6,General,Dresses,Dresses,shopping dress somehow came home person material embroidery stunning found picking sold trying material soft feels looks extremely high quality basic shirtdress amazingly flattering follows curves without clinging im lbs usually wear small topsdresses purchased size fit perfectly im slightly chesty sometimes ha,"['fit', 'quality']","{'fit': 2.0, 'quality': 2.0}"
854,1078,42,,"Love this dress! it is super-flattering, and the embroidery is beautiful.",5,1,1,General,Dresses,Dresses,love dress superflattering embroidery beautiful,,
864,1078,47,Could be a bit shorter,"Great material. a bit loose in the middle / lower half. doesn't belt well. it could be 3"" shorter, considering alterations. i'm 5'7"" the model is 5'10"", so yeah 3"" shorter would be cute!",4,1,0,General,Dresses,Dresses,great material bit loose middle lower half doesnt belt well could shorter considering alterations im model yeah shorter would cute,,
1557,1078,66,Love it!,"Great dress! wish it came it more colors, would like to buy another one. i am 5'5"",125, size small is perfect. unlike one of the previous reviewers, i do not think it is too clingy. maybe she needed to size up.very versital, cute with a jean jacket, or long lightweight scarf, booties, or sandals! .",5,1,2,General,Dresses,Dresses,great dress wish came colors would like buy another one size small perfect unlike one previous reviewers think clingy maybe needed size upvery versital cute jean jacket long lightweight scarf booties sandals,"['color', 'weight']","{'color': 3.0, 'weight': 3.0}"
1558,1078,62,,"This dress is perfect for spring and early summer. it has some weight to it and so it drapes beautifully. it is very well made and the fabric is good quality. the color is a medium color gray; much prettier than in the picture. i wear a small in most retailer dresses and this fit perfectly in a small. it hugs in all the right places and skims from the hips just like in the picture.. the length was just as it looked on the model. i am 5' 5"".",5,1,7,General,Dresses,Dresses,dress perfect spring early summer weight drapes beautifully well made fabric good quality color medium color gray much prettier picture wear small retailer dresses fit perfectly small hugs right places skims hips like picture length looked model,"['fit', 'quality', 'color', 'length', 'weight']","{'fit': 3.0, 'quality': 3.0, 'color': 3.0, 'length': 3.0, 'weight': 3.0}"
1560,1078,33,Lovely gem!!,"I've passed this dress by a number of times online, but ordered it on a whim on the mothers day promo. based on the reviews, i ordered my regular size, medium. it fit perfectly. i do think the cut is on the trim side, but it isn't tight or fitted. i probably couldn't eat a big meal in this though as it would probably show in this dress. the fabric is buttery soft! the button placket down the front is very clean and lays flat. there are two side pleats that are a different fabric and are ever so",5,1,2,General,Dresses,Dresses,ive passed dress number times online ordered whim mothers day promo based reviews ordered regular size medium fit perfectly think cut trim side isnt tight fitted probably couldnt eat big meal though would probably show dress fabric buttery soft button placket front clean lays flat two side pleats different fabric ever,['fit'],{'fit': -1.0}
1569,1078,56,"Wanted to love, but...","Tried on this maxi dress recently, hoping i would have a new dress to enjoy but the frabic is just too thin. so sad :(. unfortunately it shows every lump and bump and even wearing spanx while trying on it still showed too much. a full length slip would help but i decided to put it back.",3,0,15,General Petite,Dresses,Dresses,tried maxi dress recently hoping would new dress enjoy frabic thin sad unfortunately shows every lump bump even wearing spanx trying still showed much full length slip would help decided put back,['length'],{'length': 0.0}
1578,1078,65,,"Absolutely love, love this dress. it is so comfortable and falls perfectly. the material is great and you can dress it up or wear it casually. if it had more colors, i would get it it in any color it came in!!",5,1,2,General Petite,Dresses,Dresses,absolutely love love dress comfortable falls perfectly material great dress wear casually colors would get color came,"['comfort', 'color']","{'comfort': 4.0, 'color': 4.0}"
1580,1078,43,Elegant comfort,"I bought this dress with my birthday gift and i do not regret it! it's so soft and feels like pure comfort but the details, little metal buttons down the front, the vent pleats on the side; make it feel special. i received many compliments and i would urge you to get this one if you are seeking comfort. it was pretty true to size and because i'm an average height i wore a small block heel with it.",5,1,14,General Petite,Dresses,Dresses,bought dress birthday gift regret soft feels like pure comfort details little metal buttons front vent pleats side make feel special received many compliments would urge get one seeking comfort pretty true size im average height wore small block heel,['comfort'],{'comfort': 1.0}
1597,1078,39,Cute and decent make!,"Someone returned my size so i got to try it on in store. the cut is very flattering, the material is stretchy. the lace part is nicely made too. overall great piece. the petite waist did hit me a little higher than on model, i have a regular torso and short legs (and overall usually need petite)",4,1,8,General Petite,Dresses,Dresses,someone returned size got try store cut flattering material stretchy lace part nicely made overall great piece petite waist hit little higher model regular torso short legs overall usually need petite,,
1605,1078,55,Nice winter dress,"Great dress, fit perfectly warm for the winter, i live in florida it will be great if we get a winter next year. very comfortable and easy to wear.",5,1,0,General Petite,Dresses,Dresses,great dress fit perfectly warm winter live florida great get winter next year comfortable easy wear,"['fit', 'comfort']","{'fit': 3.0, 'comfort': 3.0}"
1619,1078,49,Versatile comfortable dress,"This dress is comfortable and versatile - one could wear it to the office or to a social event, day to night. i didn't find the sizing to run as large as some of the other reviewers did. i felt it was true to size. it is not lined so you would need a slip under it if you wear it with tights or nylons, otherwise the skirt will cling.",4,1,0,General Petite,Dresses,Dresses,dress comfortable versatile one could wear office social event day night didnt find sizing run large reviewers felt true size lined would need slip wear tights nylons otherwise skirt cling,"['comfort', 'sizing']","{'comfort': 2.0, 'sizing': 2.0}"
1625,1078,44,Beutiful dress,"Decent quality. i am 5'4"" 130 pounds. m is too big. runs slightly large.",4,1,8,General Petite,Dresses,Dresses,decent quality pounds big runs slightly large,['quality'],{'quality': 0.0}
1904,1078,46,Truly beautiful dress,"I'm an avid retailer shopper.
i bought this dress for my niece, her style tends to run 
bohemian/gothic.
the style, fabric and overall design/quality of this dress, is something i felt she would like (even though the color is not black).
she loves it - perfect fit. she accessorized it with her usual biker/moto jacket,boots, etc.
but it looks awesome on her!",5,1,0,General,Dresses,Dresses,im avid retailer shopper bought dress niece style tends run bohemiangothic style fabric overall designquality dress something felt would like even though color black loves perfect fit accessorized usual bikermoto jacketboots etc looks awesome,"['fit', 'quality', 'style', 'color']","{'fit': 2.0, 'quality': 2.0, 'style': 2.0, 'color': 2.0}"
1925,1078,28,Gorgeous detailing,"I never write reviews but this dress is so fantastic i felt compelled to write one. it has unbelievably gorgeous detailing, from delicate beading and sequins on the bodice to the three layers of the skirt: slip, floral pattern, pleats. i literally feel like a princess/ greek muse in this dress. can't recommend it enough. true to size; i'm 5'7"" and 133 lb and got a size 4.",5,1,3,General Petite,Dresses,Dresses,never write reviews dress fantastic felt compelled write one unbelievably gorgeous detailing delicate beading sequins bodice three layers skirt slip floral pattern pleats literally feel like princess greek muse dress cant recommend enough true size im lb got size,['pattern'],{'pattern': 3.0}
2376,1078,34,Perfect sweater dress to brighten up winter.,"This dress is really fun and easy to wear all winter. the colors are really easy to pair and like the last reviewer mentioned, i love the sheer sleeves. i was very worried about the comfort of the fabric because most sweater dresses always fail. this dress is extremely comfortable to wear. it is not scratchy at all. it is soft and comfortable for winter even indoors with the building's heat blasting away. the dress will fit the size you normally wear, however it may show lumps and bumps. i would",4,1,18,General Petite,Dresses,Dresses,dress really fun easy wear winter colors really easy pair like last reviewer mentioned love sheer sleeves worried comfort fabric sweater dresses always fail dress extremely comfortable wear scratchy soft comfortable winter even indoors buildings heat blasting away dress fit size normally wear however may show lumps bumps would,"['fit', 'comfort', 'color']","{'fit': 3.0, 'comfort': 3.0, 'color': 3.0}"
2379,1078,48,Lovely sweater dress,"This sweater dress is beautifully unique in that it has lovely sheer sleeves to dress it up, but it's made of a soft sweater material that feels comfortable, warm and wintry at the same time. it does run true to size, i ordered a small (5'5"" and 118 lbs). knitted and knotted has come up with some killer sweater dresses this season!!!",5,1,1,General Petite,Dresses,Dresses,sweater dress beautifully unique lovely sheer sleeves dress made soft sweater material feels comfortable warm wintry time run true size ordered small lbs knitted knotted come killer sweater dresses season,['comfort'],{'comfort': 3.0}
2393,1078,58,Classic,"A wardrobe addition to dress up, or dress down.
the sheer sleeves are a nice detail...

(i'm 5'6"", and the length hits me at the knee.)",5,1,0,General,Dresses,Dresses,wardrobe addition dress dress sheer sleeves nice detail im length hits knee,['length'],{'length': 0.0}
2395,1078,26,Slightly disagree with others,"I wore this dress for christmas and agree that it is beautiful (i received many compliments), while i agree that this sweater dress is beautiful, i'm a little worried about the quality. after just a day of wearing it, it seemed to have lost it's shape. the bottom hem of the dress looked stretched out and it sagged slightly all over. i'm 5'7"", 135lbs and my typical size is a m/4 and the dress fit perfectly initially, but not so much by christmas dinner. i'm not giving up on it because i was still",3,1,6,General,Dresses,Dresses,wore dress christmas agree beautiful received many compliments agree sweater dress beautiful im little worried quality day wearing seemed lost shape bottom hem dress looked stretched sagged slightly im lbs typical size dress fit perfectly initially much christmas dinner im giving still,"['fit', 'quality']","{'fit': 2.0, 'quality': 2.0}"
2399,1078,45,Beautiful dress,"This dress is absolutely beautiful! the grey is more vibrant in real life than the picture suggests and the maroon red is perfect for fall and winter. seriously, this is not your typical sweater dress; the sheer sleeves elevate it to a whole other level. it comes to just above the knee on my 5'7"" frame. it is a bit looser on top (i'm 32c) and more form-fitting around the hips but not tight or clingy. and so comfortable! i am 122 lbs and took my usual small so i think it runs true to size. the sl",5,1,23,General,Dresses,Dresses,dress absolutely beautiful grey vibrant real life picture suggests maroon red perfect fall winter seriously typical sweater dress sheer sleeves elevate whole level comes knee frame bit looser top im c formfitting around hips tight clingy comfortable lbs took usual small think runs true size sl,"['fit', 'comfort']","{'fit': 2.0, 'comfort': 2.0}"
2404,1078,47,Quality and look make it a winner,"Nice quality, soft fabric, sleeves definitely make a unique statement. the fit worked for me, although it could have more room in hips (for my hourglass figure). got m, size l was way too big. i am 34d, but the dress can definitely accomodate bigger chest. the color are my favorites in this season.
wear it to stand out!",5,1,1,General,Dresses,Dresses,nice quality soft fabric sleeves definitely make unique statement fit worked although could room hips hourglass figure got size l way big dress definitely accomodate bigger chest color favorites season wear stand,"['fit', 'quality', 'color']","{'fit': 1.0, 'quality': 1.0, 'color': 1.0}"
2413,1078,39,Lovely long loose,"I wanted to buy my usual mp but was sold out and so was normal m. i got the regular l and it fits like a shift dress and does not enhance my curves. it looks like a luxurious knitted sack but i mean that in a good way. it is very comfortable, does not cling, and reaches just below my knees. i do worry about the stretch factor as other reviewers have noted but since i just received it we will see. i do not like the sheer sleeves. i wish i could take them off. i do not like the button loop at the",5,1,0,General,Dresses,Dresses,wanted buy usual mp sold normal got regular l fits like shift dress enhance curves looks like luxurious knitted sack mean good way comfortable cling reaches knees worry stretch factor reviewers noted since received see like sheer sleeves wish could take like button loop,"['fit', 'comfort']","{'fit': 7.0, 'comfort': 7.0}"
2484,1078,44,,I tried this on in my regular size and a size up. just didn't work in either. the attached slip bunched underneath and the material was rough. i did not purchase it.,3,0,3,General Petite,Dresses,Dresses,tried regular size size didnt work either attached slip bunched underneath material rough purchase,,
2491,1078,49,"No, just no.","I wanted to love this. couldn't wait for it to arrive.  unfortunately, it doesn't look anything like the picture.  i usually wear a m/l in holding horses so i ordered a l but as soon as i held it up i noticed it was ridiculously large. the fabric is on the heavy side so the dress just hangs in a very unflattering way. and, it is extremely shimmery.  i love velvet, but the texture and sheen of this dress was just over the top. sadly, it is going back.",1,0,0,General Petite,Dresses,Dresses,wanted love couldnt wait arrive unfortunately doesnt look anything like picture usually wear ml holding horses ordered l soon held noticed ridiculously large fabric heavy side dress hangs unflattering way extremely shimmery love velvet texture sheen dress top sadly going back,,
2492,1078,39,Gorgeous for fall,"I bought the ""light grey"" color. the dress in the photo does not look a thing like the dress in person, it does not look grey at all but more of a light teal/light blue.  it is absolutely gorgeous and has a slight swing shape. i took my normal size xs.  the end of the sleeves (where the buttons are) are very tight but still fit, you just have to be careful taking off or else undo the buttons.  also online inventory says no one has this in store, but i did end up finding it (rockefeller).",5,1,0,General Petite,Dresses,Dresses,bought light grey color dress photo look thing like dress person look grey light teallight blue absolutely gorgeous slight swing shape took normal size xs end sleeves buttons tight still fit careful taking else undo buttons also online inventory says one store end finding rockefeller,"['fit', 'color']","{'fit': 1.0, 'color': 1.0}"
2494,1078,40,Not quite the right fit,"On the hanger, this looks like a great lbd. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle.  for reference, i tried a 0p, and i'm 5,1"", 102#, and 34a.",4,0,0,General Petite,Dresses,Dresses,hanger looks like great lbd quite bell shape dress made appear carrying extra weight middle reference tried p im,['weight'],{'weight': 2.0}
2496,1078,57,Picture misleading,"I ordered this and there is just so much fabric! in the pictures i think it is pinned in the back, in the main photo, to make it look more streamlined. definitely a miss!",3,0,0,General Petite,Dresses,Dresses,ordered much fabric pictures think pinned back main photo make look streamlined definitely miss,,
2497,1078,35,Cute!,"This dress is cute!! i ordered my regular xs which was too large but liked it enough to exchange for an xs petite and hopefully the fit will be better. (the xs was much too wide and came past my knee. i'm 5'2' and 123 for reference).  the grey is very pretty and is blueish gray... very misty and unique. the pockets are awesome and i like that it's lined in a fine poly that shouldn't cling to tights, etc in the winter. if you can find a size that fits you, buy it!",5,1,0,General Petite,Dresses,Dresses,dress cute ordered regular xs large liked enough exchange xs petite hopefully fit better xs much wide came past knee im reference grey pretty blueish gray misty unique pockets awesome like lined fine poly shouldnt cling tights etc winter find size fits buy,"['fit', 'pockets']","{'fit': 2.0, 'pockets': 2.0}"
